tract_id,pnr,trips
08001008354,US-36/McCaslin Park-n-Ride (South Lot),10.0
08001008354,University of Denver Station,6.398721593574109
08001008354,Wagon Rd Park-n-Ride,54.28368934141411
08001008354,Westminster Station,0.0
08001008354,Wheat Ridge/Ward Rd,6.28611597773263
08001008355,38th & Blake,4.124224322661236
08001008355,40th & Colorado Station,3.4023814319950487
08001008355,40th Ave & Airport Blvd,994.3993290624398
08001008355,41st & Fox,6.018805179684431
08001008355,8th & Coffman Park-n-Ride,0.0
08001008355,Arapahoe @ Village Center Station,23.025132977528337
08001008355,Central Park,19.98278655389095
08001008355,Colorado Station,1.2922277152690351
08001008355,Eastlake & 124th,0.8137342416103669
08001008355,Federal Center,0.331049008105087
08001008355,I-25/Broadway,3.6415390891559567
08001008355,Jefferson County Government Center,0.4826852335052799
08001008355,Lincoln & Jordan Park-n-Ride,0.331049008105087
08001008355,Lincoln Station,1.7791047086209266
08001008355,Littleton Downtown Station,2.951664515641082
08001008355,Mineral Station,0.0
08001008355,Nine Mile Station,8.462990221414268
08001008355,Olde Town Arvada,2.7918229298845176
08001008355,Peoria Station,20.672661127405828
08001008355,Ridgegate Pkwy Station,4.335783581854296
08001008355,Table Mesa Park-n-Ride,1.6552450405254349
08001008355,Thornton Crossroads & 104th,1.4118956235179152
08001008355,Thornton Park-n-Ride (East Lot),0.9931470243152609
08001008355,Thornton Park-n-Ride (West Lot),0.0
08001008355,US 36 & Broomfield Station,2.951664515641082
08001008355,US 36 & Sheridan Station (East Lot),0.331049008105087
08001008355,US 36 & Sheridan Station (West Lot),1.6274684832207338
08001008355,US-36/McCaslin Park-n-Ride (North Lot),0.0
08001008355,US-36/McCaslin Park-n-Ride (South Lot),0.0
08001008355,University of Denver Station,1.443863940669228
08001008355,Wagon Rd Park-n-Ride,6.648934878743292
08001008355,Westminster Station,0.0
08001008355,Wheat Ridge/Ward Rd,0.29908069095377415
08001008401,38th & Blake,0.0
08001008401,40th & Colorado Station,0.0
08001008401,40th Ave & Airport Blvd,0.11273652320420093
08001008401,41st & Fox,0.0
08001008401,8th & Coffman Park-n-Ride,0.0
08001008401,Arapahoe @ Village Center Station,0.0
08001008401,Central Park,0.0
08001008401,Colorado Station,0.0
08001008401,Eastlake & 124th,0.13516448541953843
08001008401,Federal Center,0.0
08001008401,I-25/Broadway,0.0
08001008401,Jefferson County Government Center,0.0
08001008401,Lincoln & Jordan Park-n-Ride,0.0
08001008401,Lincoln Station,0.0
08001008401,Littleton Downtown Station,0.0
08001008401,Mineral Station,0.0
08001008401,Nine Mile Station,0.0
08001008401,Olde Town Arvada,0.0
08001008401,Peoria Station,0.0
08001008401,Ridgegate Pkwy Station,0.0
08001008401,Table Mesa Park-n-Ride,0.0
08001008401,Thornton Crossroads & 104th,0.0
08001008401,Thornton Park-n-Ride (East Lot),0.0
08001008401,Thornton Park-n-Ride (West Lot),0.0
08001008401,US 36 & Broomfield Station,0.0
08001008401,US 36 & Sheridan Station (East Lot),0.0
08001008401,US 36 & Sheridan Station (West Lot),0.0
08001008401,US-36/McCaslin Park-n-Ride (North Lot),0.0
08001008401,US-36/McCaslin Park-n-Ride (South Lot),0.0
08001008401,University of Denver Station,0.0
08001008401,Wagon Rd Park-n-Ride,0.13516448541953843
08001008401,Westminster Station,0.0
08001008401,Wheat Ridge/Ward Rd,0.0
08001008505,38th & Blake,13.871376020393855
08001008505,40th & Colorado Station,0.9607837641015536
08001008505,40th Ave & Airport Blvd,4.594625803621711
08001008505,41st & Fox,9.989460117401853
08001008505,8th & Coffman Park-n-Ride,2.2526549524464996
08001008505,Arapahoe @ Village Center Station,3.528286886477134
08001008505,Central Park,9.987642828201864
08001008505,Colorado Station,0.6621748484867842
08001008505,Eastlake & 124th,30.03975605590557
08001008505,Federal Center,1.6310782397454935
08001008505,I-25/Broadway,6.434997060253262
08001008505,Jefferson County Government Center,0.3310874242433921
08001008505,Lincoln & Jordan Park-n-Ride,0.31484816992908077
08001008505,Lincoln Station,0.3310874242433921
08001008505,Littleton Downtown Station,3.29463498811961
08001008505,Mineral Station,0.00811962715715567
08001008505,Nine Mile Station,4.117385090549517
08001008505,Olde Town Arvada,20.42816748800445
08001008505,Peoria Station,1.5904801039597152
08001008505,Ridgegate Pkwy Station,0.03247850862862268
08001008505,Table Mesa Park-n-Ride,4.472831396264376
08001008505,Thornton Crossroads & 104th,122.09528244486889
08001008505,Thornton Park-n-Ride (East Lot),30.79198092499266
08001008505,Thornton Park-n-Ride (West Lot),3.5039280050056667
08001008505,US 36 & Broomfield Station,10.324182120045226
08001008505,US 36 & Sheridan Station (East Lot),6.652409704296474
08001008505,US 36 & Sheridan Station (West Lot),1.0419800356731104
08001008505,US-36/McCaslin Park-n-Ride (North Lot),0.0
08001008505,US-36/McCaslin Park-n-Ride (South Lot),0.6459355941724729
08001008505,University of Denver Station,1.2675123068734788
08001008505,Wagon Rd Park-n-Ride,109.9356795108917
08001008505,Westminster Station,0.31484816992908077
08001008505,Wheat Ridge/Ward Rd,2.8661120379903493
08001008506,38th & Blake,12.480373790597309
08001008506,40th & Colorado Station,0.6102876260207686
08001008506,40th Ave & Airport Blvd,6.9844854220505574
08001008506,41st & Fox,20.328319835511657
08001008506,8th & Coffman Park-n-Ride,1.8275631437024737
08001008506,Arapahoe @ Village Center Station,2.4395006369031584
08001008506,Central Park,8.525878225311683
08001008506,Colorado Station,1.2139757833218725
08001008506,Eastlake & 124th,157.52317547381836
08001008506,Federal Center,2.126932421583151
08001008506,I-25/Broadway,5.178370551686994
08001008506,Jefferson County Government Center,0.6069878916609363
08001008506,Lincoln & Jordan Park-n-Ride,0.00164986717991616
08001008506,Lincoln Station,0.6069878916609363
08001008506,Littleton Downtown Station,5.464540892128343
08001008506,Mineral Station,0.30266901224051007
08001008506,Nine Mile Station,0.9294553100604404
08001008506,Olde Town Arvada,22.19877952589195
08001008506,Peoria Station,0.6135873603806009
08001008506,Ridgegate Pkwy Station,1.2106760489620403
08001008506,Table Mesa Park-n-Ride,2.444450238442907
08001008506,Thornton Crossroads & 104th,45.12589379644279
08001008506,Thornton Park-n-Ride (East Lot),9.54277649590768
08001008506,Thornton Park-n-Ride (West Lot),1.5314936001816282
08001008506,US 36 & Broomfield Station,44.54019094757255
08001008506,US 36 & Sheridan Station (East Lot),1.5479922719807897
08001008506,US 36 & Sheridan Station (West Lot),3.6369777484258696
08001008506,US-36/McCaslin Park-n-Ride (North Lot),0.0
08001008506,US-36/McCaslin Park-n-Ride (South Lot),0.6086377588408525
08001008506,University of Denver Station,0.30926848096017473
08001008506,Wagon Rd Park-n-Ride,401.55614938034944
08001008506,Westminster Station,0.00164986717991616
08001008506,Wheat Ridge/Ward Rd,1.2255248535812857
08001008507,38th & Blake,12.754795557688794
08001008507,40th & Colorado Station,0.5711222582843232
08001008507,40th Ave & Airport Blvd,6.848751870061469
08001008507,41st & Fox,19.438972997752195
08001008507,8th & Coffman Park-n-Ride,1.7388982202885834
08001008507,Arapahoe @ Village Center Station,2.5908663783646593
08001008507,Central Park,8.09783739772298
08001008507,Colorado Station,1.1677759620042603
08001008507,Eastlake & 124th,152.60234986905786
08001008507,Federal Center,2.0499907948663587
08001008507,I-25/Broadway,5.058790758901658
08001008507,Jefferson County Government Center,0.5711222582843232
08001008507,Lincoln & Jordan Park-n-Ride,0.0
08001008507,Lincoln Station,0.5711222582843232
08001008507,Littleton Downtown Station,5.165631769994522
08001008507,Mineral Station,0.31109257457777545
08001008507,Nine Mile Station,0.8822148328620987
08001008507,Olde Town Arvada,21.07574543629832
08001008507,Peoria Station,0.6732480400267787
08001008507,Ridgegate Pkwy Station,1.1422445165686463
08001008507,Table Mesa Park-n-Ride,2.412146260315362
08001008507,Thornton Crossroads & 104th,55.4836206193375
08001008507,Thornton Park-n-Ride (East Lot),9.31196102124806
08001008507,Thornton Park-n-Ride (West Lot),1.427805645710808
08001008507,US 36 & Broomfield Station,43.02427524675792
08001008507,US 36 & Sheridan Station (East Lot),1.5554628728888773
08001008507,US 36 & Sheridan Station (West Lot),3.5288593314483947
08001008507,US-36/McCaslin Park-n-Ride (North Lot),0.02553144543561389
08001008507,US-36/McCaslin Park-n-Ride (South Lot),0.5711222582843232
08001008507,University of Denver Station,0.36215546544900323
08001008507,Wagon Rd Park-n-Ride,382.2492758195774
08001008507,Westminster Station,0.0
08001008507,Wheat Ridge/Ward Rd,1.1677759620042603
08001008508,38th & Blake,11.084534253009716
08001008508,40th & Colorado Station,0.02793465682854815
08001008508,40th Ave & Airport Blvd,3.141507374705603
08001008508,41st & Fox,4.0124569904952345
08001008508,8th & Coffman Park-n-Ride,0.34019113604721707
08001008508,Arapahoe @ Village Center Station,3.1883846140530645
08001008508,Central Park,1.4166338578459647
08001008508,Colorado Station,0.31225647921866895
08001008508,Eastlake & 124th,48.54134443083572
08001008508,Federal Center,0.6105456300230638
08001008508,I-25/Broadway,2.2885419075352402
08001008508,Jefferson County Government Center,0.02793465682854815
08001008508,Lincoln & Jordan Park-n-Ride,0.0
08001008508,Lincoln Station,0.02793465682854815
08001008508,Littleton Downtown Station,0.5077990770185059
08001008508,Mineral Station,0.2703544939758467
08001008508,Nine Mile Station,0.2982891508043949
08001008508,Olde Town Arvada,3.327099464296161
08001008508,Peoria Station,1.0534833190748387
08001008508,Ridgegate Pkwy Station,0.0558693136570963
08001008508,Table Mesa Park-n-Ride,1.393674455122056
08001008508,Thornton Crossroads & 104th,137.68200785897022
08001008508,Thornton Park-n-Ride (East Lot),5.047956160950804
08001008508,Thornton Park-n-Ride (West Lot),0.06983664207137037
08001008508,US 36 & Broomfield Station,12.565071064922769
08001008508,US 36 & Sheridan Station (East Lot),1.3517724698792335
08001008508,US 36 & Sheridan Station (West Lot),1.1931566032175795
08001008508,US-36/McCaslin Park-n-Ride (North Lot),0.25638716556157265
08001008508,US-36/McCaslin Park-n-Ride (South Lot),0.02793465682854815
08001008508,University of Denver Station,0.7831288250989921
08001008508,Wagon Rd Park-n-Ride,57.47755931427219
08001008508,Westminster Station,0.0
08001008508,Wheat Ridge/Ward Rd,0.31225647921866895
08001008524,38th & Blake,7.405203511450899
08001008524,40th & Colorado Station,0.4598029160997325
08001008524,40th Ave & Airport Blvd,1.6101931774857032
08001008524,41st & Fox,5.05143515935531
08001008524,8th & Coffman Park-n-Ride,0.8381187535972519
08001008524,Arapahoe @ Village Center Station,2.136040423294236
08001008524,Central Park,3.798338458966946
08001008524,Colorado Station,0.7272494545798318
08001008524,Eastlake & 124th,375.28637190152716
08001008524,Federal Center,0.22990145804986625
08001008524,I-25/Broadway,4.214199376894698
08001008524,Jefferson County Government Center,0.0
08001008524,Lincoln & Jordan Park-n-Ride,0.0
08001008524,Lincoln Station,0.4973479965299656
08001008524,Littleton Downtown Station,0.22990145804986625
08001008524,Mineral Station,0.22990145804986625
08001008524,Nine Mile Station,0.3041086477736928
08001008524,Olde Town Arvada,7.903434479117504
08001008524,Peoria Station,0.22990145804986625
08001008524,Ridgegate Pkwy Station,1.3354667501272175
08001008524,Table Mesa Park-n-Ride,9.11108590396227
08001008524,Thornton Crossroads & 104th,76.99688666922248
08001008524,Thornton Park-n-Ride (East Lot),7.5428061174736065
08001008524,Thornton Park-n-Ride (West Lot),0.0
08001008524,US 36 & Broomfield Station,21.45936266761293
08001008524,US 36 & Sheridan Station (East Lot),1.6192390086373694
08001008524,US 36 & Sheridan Station (West Lot),0.6897043741495987
08001008524,US-36/McCaslin Park-n-Ride (North Lot),2.054553344692023
08001008524,US-36/McCaslin Park-n-Ride (South Lot),0.0
08001008524,University of Denver Station,0.4231408068061391
